rent_id,agreement_date,rent_start_date,rent_end_date,terms
54,9/23/2023,9/26/2023,3/14/2026,Lease agreement for Studio in FL for 30 months. Condition: Good.
55,8/18/2024,8/21/2024,2/12/2026,Lease agreement for House in TX for 18 months. Condition: Good.
56,11/7/2023,11/29/2023,8/20/2025,Lease agreement for Apartment in TX for 21 months. Condition: Good.
57,3/19/2023,4/18/2023,7/6/2025,Lease agreement for Villa in CA for 27 months. Condition: Good.
58,12/16/2024,1/1/2025,6/20/2027,Lease agreement for Office in CA for 30 months. Condition: Good.
59,4/2/2024,4/16/2024,4/1/2027,Lease agreement for Office in TX for 36 months. Condition: Good.
60,12/21/2022,1/2/2023,11/28/2023,Lease agreement for House in NY for 11 months. Condition: Good.
61,12/5/2024,12/22/2024,6/15/2026,Lease agreement for House in FL for 18 months. Condition: Poor.
62,6/14/2024,6/28/2024,3/15/2027,Lease agreement for Office in IL for 33 months. Condition: Good.
63,11/1/2024,11/14/2024,2/7/2026,Lease agreement for Office in NY for 15 months. Condition: Good.
64,10/10/2024,10/23/2024,8/19/2025,Lease agreement for Office in TX for 10 months. Condition: Fair.
65,12/12/2024,12/20/2024,9/16/2025,Lease agreement for Studio in FL for 9 months. Condition: Good.
66,7/16/2024,7/23/2024,12/10/2026,Lease agreement for Apartment in FL for 29 months. Condition: Fair.
67,5/4/2023,5/17/2023,2/5/2025,Lease agreement for House in IL for 21 months. Condition: Fair.
68,5/3/2024,5/29/2024,11/25/2024,Lease agreement for House in CA for 6 months. Condition: Good.
69,12/8/2022,12/22/2022,10/18/2023,Lease agreement for Studio in TX for 10 months. Condition: Good.
70,12/21/2024,12/24/2024,10/10/2027,Lease agreement for Studio in TX for 34 months. Condition: Good.
71,5/6/2024,5/24/2024,11/20/2024,Lease agreement for Studio in FL for 6 months. Condition: Good.
72,5/7/2024,5/17/2024,12/3/2026,Lease agreement for House in IL for 31 months. Condition: Good.
73,9/2/2023,9/5/2023,11/23/2025,Lease agreement for Apartment in TX for 27 months. Condition: Fair.
74,2/28/2024,3/14/2024,6/2/2026,Lease agreement for Apartment in CA for 27 months. Condition: Good.
75,10/25/2024,11/13/2024,7/11/2025,Lease agreement for House in NY for 8 months. Condition: Good.
76,3/22/2023,3/27/2023,9/17/2024,Lease agreement for Office in NY for 18 months. Condition: Poor.
77,1/29/2021,2/1/2021,3/28/2022,Lease agreement for Studio in TX for 14 months. Condition: Good.
78,6/27/2024,7/12/2024,12/29/2026,Lease agreement for Office in CA for 30 months. Condition: Fair.
79,1/2/2023,1/15/2023,4/9/2024,Lease agreement for Apartment in FL for 15 months. Condition: Good.
80,1/23/2024,2/12/2024,9/4/2025,Lease agreement for Apartment in FL for 19 months. Condition: Good.
81,11/16/2023,12/5/2023,11/19/2026,Lease agreement for House in NY for 36 months. Condition: Good.
82,11/15/2024,11/17/2024,2/5/2027,Lease agreement for Studio in FL for 27 months. Condition: Fair.
83,11/21/2022,12/5/2022,7/22/2025,Lease agreement for Villa in CA for 32 months. Condition: Good.
84,12/28/2024,1/7/2025,9/29/2026,Lease agreement for Apartment in FL for 21 months. Condition: Fair.
85,12/17/2024,12/26/2024,4/15/2027,Lease agreement for Studio in TX for 28 months. Condition: Good.
86,4/10/2024,4/15/2024,11/6/2025,Lease agreement for Villa in NY for 19 months. Condition: Good.
87,5/9/2024,5/27/2024,10/14/2026,Lease agreement for Studio in NY for 29 months. Condition: Good.
88,8/11/2023,8/15/2023,7/5/2025,Lease agreement for House in FL for 23 months. Condition: Fair.
89,5/31/2024,6/10/2024,5/31/2026,Lease agreement for Apartment in TX for 24 months. Condition: Fair.
90,5/1/2024,5/6/2024,8/29/2025,Lease agreement for Studio in TX for 16 months. Condition: Good.
91,3/4/2023,3/15/2023,5/8/2024,Lease agreement for House in NY for 14 months. Condition: Good.
92,9/20/2024,9/30/2024,4/23/2026,Lease agreement for Villa in FL for 19 months. Condition: Fair.
93,5/6/2024,5/16/2024,7/5/2026,Lease agreement for Villa in CA for 26 months. Condition: Good.
94,10/14/2023,11/7/2023,2/24/2026,Lease agreement for Studio in CA for 28 months. Condition: Good.
95,9/13/2020,10/1/2020,6/28/2021,Lease agreement for House in NY for 9 months. Condition: Fair.
96,6/21/2022,7/14/2022,7/9/2023,Lease agreement for House in CA for 12 months. Condition: Good.
97,2/20/2024,3/8/2024,7/31/2025,Lease agreement for Villa in NY for 17 months. Condition: Good.
98,7/17/2024,7/23/2024,8/12/2026,Lease agreement for Villa in NY for 25 months. Condition: Fair.
99,8/13/2022,8/17/2022,5/14/2023,Lease agreement for Studio in NY for 9 months. Condition: Good.
100,1/5/2022,1/15/2022,7/14/2022,Lease agreement for House in CA for 6 months. Condition: Good.
101,5/30/2023,5/31/2023,5/25/2024,Lease agreement for Studio in IL for 12 months. Condition: Fair.
102,11/20/2024,12/19/2024,3/9/2027,Lease agreement for House in TX for 27 months. Condition: Good.
103,12/12/2024,1/2/2025,6/21/2027,Lease agreement for Office in NY for 30 months. Condition: Fair.
104,1/29/2024,2/2/2024,1/17/2027,Lease agreement for House in IL for 36 months. Condition: Good.
105,8/24/2024,9/20/2024,1/13/2026,Lease agreement for Studio in NY for 16 months. Condition: Good.
106,6/23/2024,7/4/2024,4/25/2026,Lease agreement for Studio in FL for 22 months. Condition: Fair.
107,12/25/2024,1/8/2025,8/6/2025,Lease agreement for Villa in FL for 7 months. Condition: Good.
108,10/25/2024,10/30/2024,4/28/2025,Lease agreement for House in IL for 6 months. Condition: Good.
109,2/9/2024,3/8/2024,7/1/2025,Lease agreement for Apartment in CA for 16 months. Condition: Good.
110,2/20/2023,3/16/2023,8/7/2024,Lease agreement for Apartment in IL for 17 months. Condition: Poor.
111,11/16/2024,12/16/2024,8/13/2025,Lease agreement for Apartment in FL for 8 months. Condition: Good.
112,11/14/2023,12/8/2023,7/30/2025,Lease agreement for House in IL for 20 months. Condition: Fair.
113,12/21/2024,1/10/2025,11/6/2025,Lease agreement for Office in CA for 10 months. Condition: Fair.
114,9/25/2024,10/19/2024,11/8/2026,Lease agreement for Villa in TX for 25 months. Condition: Poor.
115,3/12/2022,3/24/2022,11/8/2024,Lease agreement for House in IL for 32 months. Condition: Good.
116,7/10/2023,7/18/2023,1/3/2026,Lease agreement for House in NY for 30 months. Condition: Good.
117,12/22/2022,1/3/2023,3/28/2024,Lease agreement for Office in CA for 15 months. Condition: Fair.
118,11/5/2024,11/26/2024,7/24/2025,Lease agreement for Apartment in CA for 8 months. Condition: Fair.
119,12/23/2021,1/11/2022,1/1/2024,Lease agreement for Apartment in CA for 24 months. Condition: Good.
120,5/26/2023,5/30/2023,10/16/2025,Lease agreement for House in FL for 29 months. Condition: Fair.
121,9/26/2024,9/28/2024,9/13/2027,Lease agreement for Office in NY for 36 months. Condition: Good.
122,12/7/2023,1/6/2024,12/31/2024,Lease agreement for Apartment in TX for 12 months. Condition: Fair.
123,8/2/2021,8/4/2021,2/20/2024,Lease agreement for Studio in CA for 31 months. Condition: Good.
124,1/28/2023,2/21/2023,7/10/2025,Lease agreement for House in TX for 29 months. Condition: Good.
125,4/9/2024,4/16/2024,12/2/2026,Lease agreement for House in TX for 32 months. Condition: Good.
126,9/12/2023,10/6/2023,8/21/2026,Lease agreement for House in NY for 35 months. Condition: Fair.
127,3/14/2024,3/29/2024,5/23/2025,Lease agreement for House in IL for 14 months. Condition: Fair.
128,12/29/2024,1/14/2025,1/4/2027,Lease agreement for Apartment in TX for 24 months. Condition: Good.
129,3/8/2021,3/25/2021,3/15/2023,Lease agreement for Office in NY for 24 months. Condition: Good.
130,9/5/2024,9/6/2024,4/29/2026,Lease agreement for Villa in IL for 20 months. Condition: Good.
131,5/13/2022,6/3/2022,8/27/2023,Lease agreement for Apartment in NY for 15 months. Condition: Fair.
132,12/7/2024,12/24/2024,10/20/2025,Lease agreement for Apartment in TX for 10 months. Condition: Good.
133,11/16/2022,11/23/2022,4/11/2025,Lease agreement for House in IL for 29 months. Condition: Good.
134,10/28/2021,11/1/2021,4/30/2022,Lease agreement for Studio in FL for 6 months. Condition: Fair.
135,6/30/2024,7/25/2024,6/15/2026,Lease agreement for Studio in CA for 23 months. Condition: Good.
136,3/11/2022,3/14/2022,2/26/2025,Lease agreement for Office in FL for 36 months. Condition: Good.
137,10/18/2024,11/3/2024,3/23/2027,Lease agreement for Apartment in TX for 29 months. Condition: Fair.
138,6/12/2021,7/2/2021,4/28/2022,Lease agreement for Villa in IL for 10 months. Condition: Fair.
139,12/9/2023,12/23/2023,5/11/2026,Lease agreement for Studio in TX for 29 months. Condition: Good.
140,9/14/2022,10/13/2022,9/8/2023,Lease agreement for Studio in NY for 11 months. Condition: Good.
141,5/8/2022,6/1/2022,7/20/2024,Lease agreement for Studio in CA for 26 months. Condition: Good.
142,8/8/2024,8/11/2024,8/31/2026,Lease agreement for House in TX for 25 months. Condition: Good.
143,12/6/2023,12/28/2023,3/17/2026,Lease agreement for Villa in CA for 27 months. Condition: Fair.
144,5/25/2022,6/7/2022,6/26/2024,Lease agreement for Villa in FL for 25 months. Condition: Fair.
145,10/11/2024,11/4/2024,4/28/2026,Lease agreement for Villa in TX for 18 months. Condition: Good.
146,12/18/2024,12/23/2024,3/18/2026,Lease agreement for Studio in IL for 15 months. Condition: Good.
147,3/13/2023,3/25/2023,9/10/2025,Lease agreement for Apartment in TX for 30 months. Condition: Good.
148,9/23/2023,9/24/2023,3/22/2024,Lease agreement for House in TX for 6 months. Condition: Good.
149,4/20/2021,5/15/2021,12/31/2023,Lease agreement for Villa in NY for 32 months. Condition: Good.
150,8/2/2024,8/25/2024,3/23/2025,Lease agreement for Apartment in FL for 7 months. Condition: Good.
151,11/8/2022,11/22/2022,3/11/2025,Lease agreement for Studio in CA for 28 months. Condition: Fair.
152,11/3/2023,11/23/2023,1/16/2025,Lease agreement for House in FL for 14 months. Condition: Fair.
153,9/26/2024,10/8/2024,6/25/2027,Lease agreement for Studio in FL for 33 months. Condition: Good.
154,7/29/2023,8/18/2023,2/3/2026,Lease agreement for Villa in FL for 30 months. Condition: Good.
155,1/16/2024,1/25/2024,2/18/2025,Lease agreement for Office in FL for 13 months. Condition: Poor.
156,9/22/2024,10/13/2024,3/7/2026,Lease agreement for House in NY for 17 months. Condition: Good.
157,11/5/2024,11/29/2024,8/21/2026,Lease agreement for Office in TX for 21 months. Condition: Good.
158,3/15/2022,4/1/2022,8/24/2023,Lease agreement for House in TX for 17 months. Condition: Poor.
159,9/28/2024,9/30/2024,1/23/2026,Lease agreement for Villa in IL for 16 months. Condition: Good.
160,11/27/2024,12/14/2024,12/9/2025,Lease agreement for Apartment in NY for 12 months. Condition: Good.
161,7/13/2024,8/2/2024,3/20/2027,Lease agreement for Apartment in CA for 32 months. Condition: Good.
162,1/3/2022,1/6/2022,6/30/2023,Lease agreement for Studio in CA for 18 months. Condition: Fair.
163,12/21/2024,1/16/2025,4/11/2026,Lease agreement for House in TX for 15 months. Condition: Fair.
164,8/9/2024,9/3/2024,9/23/2026,Lease agreement for Office in TX for 25 months. Condition: Fair.
165,10/3/2024,10/27/2024,5/20/2026,Lease agreement for Office in FL for 19 months. Condition: Poor.
166,5/31/2024,6/9/2024,6/29/2026,Lease agreement for Apartment in TX for 25 months. Condition: Good.
167,3/5/2022,3/30/2022,2/12/2025,Lease agreement for Studio in TX for 35 months. Condition: Good.
168,11/25/2024,12/6/2024,11/1/2025,Lease agreement for Villa in FL for 11 months. Condition: Fair.
169,1/31/2024,2/25/2024,3/16/2026,Lease agreement for Apartment in TX for 25 months. Condition: Fair.
170,7/16/2023,7/29/2023,3/15/2026,Lease agreement for Office in NY for 32 months. Condition: Good.
171,10/19/2024,10/20/2024,6/7/2027,Lease agreement for Office in NY for 32 months. Condition: Good.
172,1/17/2024,2/12/2024,12/3/2025,Lease agreement for Office in FL for 22 months. Condition: Good.
173,5/10/2023,6/6/2023,11/27/2024,Lease agreement for Office in TX for 18 months. Condition: Good.
174,7/16/2024,7/22/2024,8/16/2025,Lease agreement for Studio in TX for 13 months. Condition: Fair.
175,3/31/2023,4/18/2023,6/11/2024,Lease agreement for House in CA for 14 months. Condition: Good.
176,10/12/2020,10/18/2020,1/6/2023,Lease agreement for Office in TX for 27 months. Condition: Fair.
177,1/19/2021,2/9/2021,8/28/2023,Lease agreement for Villa in CA for 31 months. Condition: Fair.
178,8/17/2024,9/6/2024,12/30/2025,Lease agreement for Villa in CA for 16 months. Condition: Poor.
179,12/18/2021,12/28/2021,8/25/2022,Lease agreement for Apartment in CA for 8 months. Condition: Poor.
180,2/3/2023,2/7/2023,10/29/2024,Lease agreement for Office in CA for 21 months. Condition: Good.
181,6/18/2022,6/22/2022,11/8/2024,Lease agreement for Villa in IL for 29 months. Condition: Good.
182,7/8/2022,7/20/2022,1/11/2024,Lease agreement for Studio in CA for 18 months. Condition: Poor.
183,12/2/2024,12/22/2024,11/7/2027,Lease agreement for House in FL for 35 months. Condition: Fair.
184,8/17/2024,8/20/2024,5/7/2027,Lease agreement for Apartment in IL for 33 months. Condition: Good.
185,9/14/2021,9/25/2021,7/17/2023,Lease agreement for House in CA for 22 months. Condition: Good.
186,10/18/2024,11/10/2024,3/30/2027,Lease agreement for Studio in TX for 29 months. Condition: Fair.
187,10/10/2024,11/9/2024,9/30/2026,Lease agreement for Office in NY for 23 months. Condition: Good.
188,6/18/2024,7/3/2024,10/26/2025,Lease agreement for House in IL for 16 months. Condition: Good.
189,4/4/2024,4/30/2024,7/19/2026,Lease agreement for House in CA for 27 months. Condition: Good.
190,4/21/2024,5/16/2024,10/8/2025,Lease agreement for Studio in NY for 17 months. Condition: Good.
191,8/18/2024,9/17/2024,10/7/2026,Lease agreement for House in NY for 25 months. Condition: Good.
192,3/5/2024,3/27/2024,12/17/2025,Lease agreement for Office in NY for 21 months. Condition: Good.
193,5/9/2024,5/27/2024,3/18/2026,Lease agreement for House in CA for 22 months. Condition: Fair.
194,4/22/2022,5/19/2022,12/4/2024,Lease agreement for Villa in FL for 31 months. Condition: Fair.
195,2/7/2024,2/18/2024,8/6/2026,Lease agreement for Studio in TX for 30 months. Condition: Fair.
196,5/11/2022,6/8/2022,7/27/2024,Lease agreement for Villa in TX for 26 months. Condition: Fair.
197,12/8/2024,12/9/2024,7/2/2026,Lease agreement for Apartment in IL for 19 months. Condition: Good.
198,6/11/2021,7/3/2021,1/29/2022,Lease agreement for Studio in TX for 7 months. Condition: Good.
199,11/25/2024,12/23/2024,7/11/2027,Lease agreement for Villa in IL for 31 months. Condition: Good.
200,6/25/2021,7/17/2021,5/2/2024,Lease agreement for Office in NY for 34 months. Condition: Good.
201,2/8/2024,2/25/2024,3/16/2026,Lease agreement for Office in IL for 25 months. Condition: Poor.
202,10/23/2024,11/21/2024,10/7/2027,Lease agreement for Office in FL for 35 months. Condition: Good.
203,7/13/2023,7/14/2023,12/5/2024,Lease agreement for Studio in TX for 17 months. Condition: Good.
204,11/17/2024,11/26/2024,9/22/2025,Lease agreement for Villa in FL for 10 months. Condition: Good.
205,7/31/2023,8/13/2023,8/7/2024,Lease agreement for House in TX for 12 months. Condition: Good.
206,9/8/2022,9/12/2022,5/4/2024,Lease agreement for Apartment in FL for 20 months. Condition: Fair.
207,6/1/2024,6/7/2024,1/28/2026,Lease agreement for Office in IL for 20 months. Condition: Fair.
208,12/18/2024,12/29/2024,1/18/2027,Lease agreement for Villa in TX for 25 months. Condition: Fair.
209,9/20/2023,9/29/2023,6/25/2024,Lease agreement for Villa in NY for 9 months. Condition: Good.
210,9/2/2024,9/20/2024,9/5/2027,Lease agreement for Villa in IL for 36 months. Condition: Fair.
211,5/2/2024,5/28/2024,3/14/2027,Lease agreement for Studio in IL for 34 months. Condition: Good.
212,5/16/2023,6/2/2023,3/18/2026,Lease agreement for Apartment in IL for 34 months. Condition: Fair.
213,2/20/2022,3/3/2022,2/21/2024,Lease agreement for Studio in IL for 24 months. Condition: Poor.
214,5/11/2024,6/1/2024,12/18/2026,Lease agreement for Office in TX for 31 months. Condition: Good.
215,10/13/2024,10/26/2024,7/23/2025,Lease agreement for Office in FL for 9 months. Condition: Fair.
216,9/5/2020,9/12/2020,11/6/2021,Lease agreement for Studio in TX for 14 months. Condition: Fair.
217,9/30/2024,10/26/2024,10/11/2027,Lease agreement for Apartment in IL for 36 months. Condition: Fair.
218,10/4/2022,10/8/2022,5/25/2025,Lease agreement for Apartment in IL for 32 months. Condition: Good.
219,4/4/2023,4/27/2023,7/20/2024,Lease agreement for Villa in FL for 15 months. Condition: Good.
220,4/30/2024,5/24/2024,3/10/2027,Lease agreement for Villa in FL for 34 months. Condition: Good.
221,5/28/2022,5/29/2022,8/22/2023,Lease agreement for Studio in CA for 15 months. Condition: Good.
222,7/23/2022,8/3/2022,11/20/2024,Lease agreement for Studio in FL for 28 months. Condition: Good.
223,12/2/2024,12/24/2024,9/20/2025,Lease agreement for House in TX for 9 months. Condition: Good.
224,12/27/2024,1/23/2025,12/9/2027,Lease agreement for House in IL for 35 months. Condition: Good.
225,10/20/2023,10/27/2023,12/20/2024,Lease agreement for Office in NY for 14 months. Condition: Good.
226,7/4/2024,7/18/2024,7/8/2026,Lease agreement for Studio in FL for 24 months. Condition: Good.
227,7/12/2022,7/31/2022,12/17/2024,Lease agreement for House in CA for 29 months. Condition: Good.
228,4/26/2023,5/25/2023,7/18/2024,Lease agreement for House in IL for 14 months. Condition: Good.
229,10/18/2024,10/29/2024,8/25/2025,Lease agreement for Studio in FL for 10 months. Condition: Fair.
230,10/20/2024,10/21/2024,10/11/2026,Lease agreement for Office in FL for 24 months. Condition: Good.
231,2/22/2022,2/28/2022,9/26/2022,Lease agreement for House in IL for 7 months. Condition: Fair.
232,4/30/2024,5/15/2024,1/5/2026,Lease agreement for Office in IL for 20 months. Condition: Fair.
233,9/13/2023,9/21/2023,11/14/2024,Lease agreement for House in IL for 14 months. Condition: Good.
234,10/19/2020,11/4/2020,8/31/2021,Lease agreement for Office in IL for 10 months. Condition: Fair.
235,4/11/2023,4/17/2023,10/3/2025,Lease agreement for Villa in FL for 30 months. Condition: Good.
236,2/2/2024,2/23/2024,12/14/2025,Lease agreement for Apartment in IL for 22 months. Condition: Good.
237,7/23/2024,8/5/2024,3/28/2026,Lease agreement for House in IL for 20 months. Condition: Fair.
238,9/9/2023,9/11/2023,9/30/2025,Lease agreement for Apartment in IL for 25 months. Condition: Fair.
239,7/20/2024,8/8/2024,1/30/2026,Lease agreement for Studio in TX for 18 months. Condition: Good.
240,1/31/2022,2/28/2022,11/14/2024,Lease agreement for Apartment in NY for 33 months. Condition: Good.
241,6/3/2023,6/19/2023,2/14/2024,Lease agreement for Villa in TX for 8 months. Condition: Good.
242,12/18/2023,1/14/2024,9/10/2024,Lease agreement for Studio in FL for 8 months. Condition: Good.
243,2/16/2024,2/19/2024,3/10/2026,Lease agreement for Studio in NY for 25 months. Condition: Good.
244,11/27/2024,12/2/2024,11/27/2025,Lease agreement for Studio in TX for 12 months. Condition: Good.
245,12/6/2024,12/25/2024,11/20/2025,Lease agreement for House in FL for 11 months. Condition: Good.
246,4/8/2024,5/2/2024,11/23/2025,Lease agreement for Office in IL for 19 months. Condition: Good.
247,8/30/2024,9/14/2024,7/6/2026,Lease agreement for Studio in IL for 22 months. Condition: Good.
248,1/10/2024,1/30/2024,4/19/2026,Lease agreement for Villa in IL for 27 months. Condition: Good.
249,11/17/2021,12/2/2021,5/20/2024,Lease agreement for Office in IL for 30 months. Condition: Fair.
250,12/25/2024,1/4/2025,2/28/2026,Lease agreement for Studio in CA for 14 months. Condition: Good.
251,4/28/2024,5/18/2024,1/3/2027,Lease agreement for Villa in FL for 32 months. Condition: Good.
252,11/21/2024,12/6/2024,8/28/2026,Lease agreement for Office in NY for 21 months. Condition: Good.
253,9/6/2024,9/30/2024,8/26/2025,Lease agreement for Office in NY for 11 months. Condition: Good.
254,12/26/2024,12/27/2024,7/15/2027,Lease agreement for House in CA for 31 months. Condition: Good.
255,11/6/2022,11/7/2022,5/30/2024,Lease agreement for Apartment in FL for 19 months. Condition: Good.
256,9/25/2022,10/25/2022,11/19/2023,Lease agreement for Studio in TX for 13 months. Condition: Good.
257,10/10/2024,10/19/2024,2/6/2027,Lease agreement for Studio in TX for 28 months. Condition: Poor.
258,10/2/2024,10/18/2024,10/13/2025,Lease agreement for House in TX for 12 months. Condition: Good.
259,10/17/2024,10/26/2024,3/15/2027,Lease agreement for Studio in TX for 29 months. Condition: Good.
260,12/14/2023,12/28/2023,6/20/2025,Lease agreement for Villa in IL for 18 months. Condition: Good.
261,2/12/2023,2/16/2023,4/11/2024,Lease agreement for Villa in CA for 14 months. Condition: Good.
262,9/21/2024,10/1/2024,12/25/2025,Lease agreement for Office in CA for 15 months. Condition: Good.
263,1/27/2023,2/6/2023,8/24/2025,Lease agreement for House in FL for 31 months. Condition: Good.
264,8/25/2023,9/22/2023,7/8/2026,Lease agreement for Studio in CA for 34 months. Condition: Good.
265,12/3/2024,12/28/2024,11/23/2025,Lease agreement for Villa in TX for 11 months. Condition: Good.
266,7/1/2023,7/28/2023,5/18/2025,Lease agreement for Studio in IL for 22 months. Condition: Good.
267,12/5/2023,12/6/2023,7/28/2025,Lease agreement for Office in NY for 20 months. Condition: Fair.
268,11/27/2022,12/27/2022,9/12/2025,Lease agreement for Apartment in FL for 33 months. Condition: Good.
269,8/17/2022,8/19/2022,8/3/2025,Lease agreement for Apartment in CA for 36 months. Condition: Good.
270,4/19/2024,4/29/2024,2/23/2025,Lease agreement for Office in IL for 10 months. Condition: Poor.
271,7/1/2024,7/3/2024,8/22/2026,Lease agreement for Office in IL for 26 months. Condition: Fair.
272,3/1/2024,3/26/2024,9/22/2024,Lease agreement for Studio in FL for 6 months. Condition: Fair.
273,12/20/2023,12/27/2023,11/16/2025,Lease agreement for Villa in FL for 23 months. Condition: Poor.
274,11/18/2024,11/19/2024,3/9/2027,Lease agreement for Studio in CA for 28 months. Condition: Poor.
275,12/14/2023,12/19/2023,7/16/2024,Lease agreement for Apartment in IL for 7 months. Condition: Good.
276,12/15/2024,12/25/2024,2/13/2027,Lease agreement for Villa in CA for 26 months. Condition: Good.
277,9/12/2024,9/13/2024,8/9/2025,Lease agreement for Apartment in TX for 11 months. Condition: Fair.
278,11/11/2023,11/23/2023,7/20/2024,Lease agreement for Apartment in FL for 8 months. Condition: Good.
279,6/4/2024,7/1/2024,9/24/2025,Lease agreement for Villa in TX for 15 months. Condition: Good.
